Time,API Key Name,Model,Reasoning Effort,Inbound Endpoint,IP Address,Type,Billing Mode,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens,Rate Multiplier,Billed Cost,Original Cost,First Token (ms),Duration (ms)
2026-07-16T18:49:00.848522+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,497,205,212736,0,0.3,0.0345009,0.115003,44929,49253
2026-07-16T18:48:51.146403+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,4607,149,43776,0,0.3,0.00296358,0.0098786,1796,4570
2026-07-16T18:48:44.77372+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,782,181,43264,0,0.3,0.00185832,0.0061944,2045,5342
2026-07-16T18:48:36.620413+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,9238,206,34560,0,0.3,0.004179,0.01393,2110,5926
2026-07-16T18:48:29.01553+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,656,119,34048,0,0.3,0.00143244,0.0047748,1934,4101
2026-07-16T18:48:23.618197+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,8677,290,25856,0,0.3,0.00390078,0.0130026,1677,7064
2026-07-16T18:48:14.200537+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,5345,399,20736,0,0.3,0.00294378,0.0098126,1486,8787
2026-07-16T18:47:59.733779+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,311,667,20736,0,0.3,0.00191598,0.0063866,2096,14250
2026-07-16T18:47:55.655689+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,206256,31,6912,0,0.3,0.3106998,1.035666,35529,36528
2026-07-16T18:47:43.992544+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1663,48,19200,0,0.3,0.0011613,0.003871,1724,2718
2026-07-16T18:47:29.604169+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,19765,1070,0,0,0.3,0.0078555,0.026185,1901,21327
2026-07-16T18:47:08.272054+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,386,66,212736,0,0.3,0.0330834,0.110278,12846,13894
2026-07-16T18:46:13.837111+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1345,31,211712,0,0.3,0.0340533,0.113511,7577,7866
2026-07-16T18:45:53.385983+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,206051,66,6912,0,0.3,0.3107073,1.035691,14429,16846
2026-07-16T18:45:42.695153+08:00,,gpt-5.4-mini,Low,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,12972,77,1536,0,0.3,0.00305721,0.0101907,3253,4434
2026-07-16T18:45:34.68316+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,205494,475,6912,0,0.3,0.3135528,1.045176,16991,25438
2026-07-16T13:02:06.461805+08:00,,glm-5.2,'-,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,54,38,0,0,0.5,0.0000878,0.0001756,,2438
2026-07-16T13:00:40.360565+08:00,,glm-5.2,'-,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,29,819,0,0,0.5,0.0013249,0.0026498,,18162
2026-07-16T12:59:42.155946+08:00,,glm-5.2,'-,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,28,118,0,0,0.5,0.0002028,0.0004056,,5011
2026-07-16T12:59:07.359348+08:00,,glm-5.2,'-,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,39,199,0,0,0.5,0.0003379,0.0006758,,3672
2026-07-16T12:58:30.988274+08:00,,glm-5.2,'-,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,53,21,0,0,0.5,0.0000601,0.0001202,,1374
2026-07-16T12:57:57.138651+08:00,,glm-5.2,'-,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,33,21,0,0,0.5,0.0000501,0.0001002,,1463
2026-07-16T09:06:31.804333+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,606,761,3840,0,0.3,0.008334,0.02778,,23517
2026-07-16T09:06:06.96731+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,679,2830,3840,0,0.3,0.0270645,0.090215,,71581
2026-07-16T09:04:54.548813+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,648,1161,3840,0,0.3,0.011997,0.03999,,31410
2026-07-16T09:04:22.385971+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,4440,290,0,0,0.3,0.00927,0.0309,,10822
2026-07-16T09:04:10.312102+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,646,603,3840,0,0.3,0.006972,0.02324,,23223
2026-07-16T09:03:45.805974+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,620,791,3840,0,0.3,0.008625,0.02875,,22718
2026-07-16T09:03:22.289682+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,4378,566,0,0,0.3,0.011661,0.03887,,17474
2026-07-16T09:02:03.222106+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,4365,133,0,0,0.3,0.0077445,0.025815,,20510
2026-07-16T09:01:31.851855+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,659,102,3840,0,0.3,0.0024825,0.008275,,16250
2026-07-16T09:01:14.280983+08:00,,gpt-5.6-sol,Max,/v1/chat/completions,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Sync,按量,622,522,3840,0,0.3,0.006207,0.02069,,64226
